index,key,term_type,Key [],Description [],English [en],Russian [ru],Chinese (Simplified) [zh-CN],French [fr],German [de],Spanish [es],Brazil [pt-BR],Chinese (Traditional) [zh-TW],Korean [ko],Polish [pl],Japanese [ja]
1866,CityOperations/op_swedish_table_name,0,CityOperations/op_swedish_table_name,,Operation Buffet,"Операция ""Шведский стол""",自助餐行动,Opération « Buffet »,Operation „Buffet“,"Operación ""Bufé""",Operação Bufê,自助餐行動,,Operacja Bufet,ビュッフェ作戦
1867,CityOperations/op_swedish_table_descr,0,CityOperations/op_swedish_table_descr,,"Conduct an additional drop of mutated corpse-eater cocoons, followed by their activation and forced hatching in all areas affected by ""fungus zombus"".",Провести дополнительную заброску мутировавших коконов трупожорки с последующей их активацией и принудительным вылуплением во всех пострадавших от грибной зомбянки районах.,向所有丧尸真菌疫区追加投放变异的食尸虫茧，随后激活并强制孵化。,"Procédez à un nouveau largage de chrysalides nécrophages mutantes, puis à leur activation et à leur éclosion forcées dans toutes les zones touchées par le « Champignon Zombifiant ».","Führe in allen vom „Fungus zombus“ betroffenen Gebieten einen weiteren Abwurf von mutierten Leichenfresser-Kokons durch, gefolgt von deren Aktivierung und erzwungenem Schlüpfen.",Despliega más capullos necrófgagos y actívalos para que salgan en las zonas afectadas con el hongo zombus.,"Realize uma nova dispersão de casulos de devoradores de cadáveres transformados, seguida de sua ativação e eclosão forçada em todas as áreas afetadas pelos zumbis fúngicos.",向所有喪屍真菌疫區追加投放變異的食屍蟲繭，隨後啟用並強制孵化。,,Przeprowadź dodatkowy zrzut zmutowanych kokonów trupożerców. Następnie uruchom i wymuś wylęg we wszystkich obszarach występowania fungus zombus.,ゾンビ菌の感染全地域において、変異型コープス・イーターの繭をさらに投下し、その後、それらの活性化および強制孵化を実行せよ。
1868,CityOperations/op_cyberlazar_protocol_name,0,CityOperations/op_cyberlazar_protocol_name,,"Distributing the ""Cyber ​​Lazarus"" Protocol","Рассылка протокола ""Киберлазарь""",推送赛博拉撒路预案,Diffusion du protocole « Cyberlazarus »,Verbreitung des „Cyber Lazarus“-Protokolls,Distribución del protocolo Ciberlázaro,Distribuindo o Protocolo Cyber ​​Lazarus,推送賽博拉撒路預案,,Rozprowadzenie Protokołu Cyber Lazarus,サイバー・ラザロ・プロトコルの分散
1869,CityOperations/op_cyberlazar_protocol_descr,0,CityOperations/op_cyberlazar_protocol_descr,,"Initiate the distribution of the ""Cyber Lazarus"" protocol over the internal secure communication network of Flemming 17 series microchips under the guise of a standard firmware update.","Инициировать рассылку протокола ""Киберлазарь"" по внутренней защищенной сети связи чипов серии ""Флемминг-17"" под видом стандартного обновления прошивки.",以常规固件更新为伪装，通过弗莱明17型微芯片内网，全域推送赛博拉撒路协议。,"Lancez la diffusion du protocole « Cyberlazarus » sur le réseau de communication interne sécurisé des micropuces de la série Flemming 17, sous le couvert d’une mise à jour standard du micrologiciel.","Leite die Verbreitung des „Cyber Lazarus“-Protokolls über das interne, sichere Kommunikationsnetzwerk der Mikrochips aus der „Flemming-17“-Serie unter dem Deckmantel eines standardmäßigen Firmware-Updates ein.",Inicia la distribución del protocolo por la red de comunicaciones interna del microchip Flemming 17 y ocúltalo tras una actualización normal del sistema.,"Inicie a distribuição do protocolo Cyber ​​Lazarus pela rede de comunicação segura interna dos microchips da série Flemming 17, sob o disfarce de uma atualização de firmware padrão.",以一般固件更新為偽裝，透過弗萊明17型微晶片內網，全域推送賽博拉撒路協議。,,Uruchom dystrybucję protokołu Cyber Lazarus za pomocą wewnętrznej zabezpieczonej sieci komunikacyjnej mikroczipów serii Flemming 17 pod pozorem standardowej aktualizacji oprogramowania.,標準的なファームウェアアップデートを装い、フレミング17シリーズのマイクロチップ内部セキュア通信ネットワークを介してサイバー・ラザロプロトコルの配信を開始せよ。
1870,CityOperations/op_iron_woodcutter_name,0,CityOperations/op_iron_woodcutter_name,,Operation Tin Man,"Операция ""Железный дровосек""",铁皮人行动,Opération « Homme de fer »,Operation „Blechmann“,"Operación ""Hombre de hojalata""",Operação Homem de Lata,鐵皮人行動,,Operacja Blacharz,ブリキの木こり作戦
1871,CityOperations/op_iron_woodcutter_descr,0,CityOperations/op_iron_woodcutter_descr,,Perform implantation surgeries on proven and potential target organs in the entire city population. Any resistance is to be considered a threat to public safety.,Произвести операции по замещению имплантами доказанных и потенциальных органов-мишеней у всего населения города. Любое сопротивление считать актом угрозы общественной безопасности.,对全城人口中的已证实和潜在目标器官进行植入手术。任何抵抗行为均视为危害公共安全。,Réalisez des interventions chirurgicales d’implantation sur les organes cibles confirmés et potentiels de l’ensemble de la population de la ville. Toute résistance doit être considérée comme une menace pour la sécurité publique.,Führe Implantationsoperationen an nachgewiesenen und potenziellen Zielorganen der gesamten Stadtbevölkerung durch. Jeder Widerstand ist als Bedrohung der öffentlichen Sicherheit anzusehen.,Lleva a cabo implantaciones con toda la ciudad en órganos de los objetivos probados o potenciales. Cualquier tipo de resistencia se considerará un riesgo para la salud.,Realize cirurgias de implantação em órgãos-alvo comprovados e potenciais em toda a população da cidade. Qualquer resistência deve ser considerada uma ameaça à segurança pública.,對全城人口中的已證實和潛在目標器官進行植入手術。任何抵抗行為均視為危害公共安全。,,Przeprowadź operacje implantacyjne w określonych i potencjalnych narządach całej populacji miejskiej. Wszelki opór oznacza zagrożenie dla bezpieczeństwa publicznego.,全市民を対象とした実証済みで潜在的な標的臓器へのインプラント手術を実行せよ。いかなる抵抗も、公衆衛生と治安に対する脅威とみなすものとする。
1872,CityOperations/AlienInvasion2,0,CityOperations/AlienInvasion2,,Extraterrestrial Technologies 2,Внеземные технологии-2,外形技术2,Technologies extraterrestres 2,Außerirdische Technologien 2,Tecnología extraterrestre 2,Tecnologias Extraterrestres 2,外形技術2,,Technologie pozaziemskie 2,地球外のテクノロジー 2
1873,CityOperations/CultActivity2,0,CityOperations/CultActivity2,,Parasite 2,Паразит-2,寄生虫2,Parasites 2,Parasit 2,Parásitos 2,Parasita 2,寄生蟲2,,Pasożyt 2,寄生体 2
1874,CityOperations/Zombies2,0,CityOperations/Zombies2,,Fungus 2,Гриб-2,真菌2,Champignons 2,Pilz 2,Hongos 2,Fungos 2,真菌2,,Grzyb 2,真菌 2
1875,CityOperations/GrayGoo,0,CityOperations/GrayGoo,,Gray Goo,Серая слизь,灰色粘液,Boue grise,Grauer Schleim,Limo gris,Gosma Cinza,灰色粘液,,Szary szlam,グレースライム
1876,CityOperations/Cyberman,0,CityOperations/Cyberman,,Cybermen,Киберлюди,改造人,Cyborgs,Cybermen,Cybermen,Ciberhomem,改造人,,Cybermeni,サイバーマン
1877,CityOperations/Replicators,0,CityOperations/Replicators,,Reptiloids,Рептилоиды,爬虫,Reptiloïdes,Reptiloiden,Reptilianos,Reptilóides,爬蟲,,Jaszczurowie,レプティロイド
1878,CityOperations/HellMushroom,0,CityOperations/HellMushroom,,Hellish Mushrooms,Адские грибы,地狱蘑菇,Champignons infernaux,Höllische Pilze,Hongo de Satanás,Cogumelos Infernais,地獄蘑菇,,Piekielne Grzyby,地獄のキノコ
1879,CityOperations/MagickCrystal,0,CityOperations/MagickCrystal,,Magic Crystals,Магические кристаллы,魔法水晶,Cristaux magiques,Magische Kristalle,Cristales mágicos,Cristiais Mágicos,魔法水晶,,Magiczne Kryształy,魔法のクリスタル
1880,CityOperations/TechnoMagick,0,CityOperations/TechnoMagick,,Technomancy,Техномантия,技术魔法,Technomancie,Technomantie,Tecnomancia,Tecnomancia,技術魔法,,Technomancja,テクノマンシー
1881,CityOperations/Sarancha,0,CityOperations/Sarancha,,Locusts,Саранча,食肉蝗虫,Criquets,Heuschrecken,Langostas,Gafanhotos,食肉蝗蟲,,Szarańcza,イナゴ
1882,CityOperations/Chips,0,CityOperations/Chips,,Microchipping,Чипирование,微型芯片,Implantation de micropuce,Mikrochip-Implantation,Microchip,Implante de microchip,微型晶片,,Mikroczipy,マイクロチッピング
1883,CityOperations/PostApoc,0,CityOperations/PostApoc,,Post-Apocalypse,Пост-апокалипсис,文明末日,Post-apocalypse,Postapokalypse,Posapocalipsis,apocalipse,文明末日,,Postapokalipsa,世界終末後
1884,CityOperations/TechnoSymbios,0,CityOperations/TechnoSymbios,,Technosymbiosis,Техносимбиоз,科技共生,Technosymbiose,Technosymbiose,Tecnosimbiosis,Tecnosimbiose,科技共生,,Technosymbioza,テクノシンビオス
1885,CityOperations/Skynet,0,CityOperations/Skynet,,Skynet,Скайнет,天网,Skynet,Skynet,Skynet,Skynet,天網,,Skynet,スカイネット
1886,CityOperations/Mechanoids,0,CityOperations/Mechanoids,,Mechanoids,Механоиды,机械体,Mechanoïdes,Mechanoide,Mecanoides,Mecanóides,機械體,,Mechanoidy,メカノイド
1887,CityOperations/SatanaMushroom,0,CityOperations/SatanaMushroom,,Satanic Mushrooms,Грибы-сатанисты,撒旦蘑菇,Champignons sataniques,Teuflische Pilze,Hongo del diablo,Cogumelos Satânicos,撒旦蘑菇,,Szatańskie Grzyby,悪魔のキノコ
1888,CityOperations/Goser,0,CityOperations/Goser,,Gozer,Госер,戈泽,Gozer,Gozer,Gozer,Gozer,戈澤,,Gozer,ゴーザ
1889,CityOperations/Transform,0,CityOperations/Transform,,Transform,Трансформ,异变,Transform,Transformation,Transformación,Transformaração,異變,,Transformacja,トランスフォーム
1890,CityOperations/Insectoids,0,CityOperations/Insectoids,,Insectoids,Инсектоиды,变异昆虫,Insectoïdes,Insektoide,Insectoides,Insectóide,變異昆蟲,,Insektoidy,インセクトイド
1891,CityOperations/Hack,0,CityOperations/Hack,,Hack,Хак,黑客,Hack,Hack,Hackeo,Hack,駭客,,Hakowanie,ハック
1892,CityOperations/PostApoc2,0,CityOperations/PostApoc2,,Post-Apocalypse 2,Пост-апокалипсис-2,文明末日2,Post-apocalypse 2,Postapokalypse 2,Posapocalipsis 2,Pós-apocalipse 2,文明末日2,,Postapokalipsa 2,世界終末後 2
1893,CityOperations/DeusExMachine,0,CityOperations/DeusExMachine,,Deus Ex Machina,Deus ex machina,命运机器,Deus Ex Machina,Deus ex Machina,Deus Ex Machina,Deus da Máquina,命運機器,,Deus Ex Machina,デウス・エクス・マキナ
1894,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
1895,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
1896,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
1897,UI/GameOverTip_AlienInvasion2,0,UI/GameOverTip_AlienInvasion2,,The visitors seized control of the city and launched a full-scale invasion. (Regular operations in the city could have helped prevent this.),Гости захватили контроль над городом и начали полномасштабное вторжение. (Проведение регулярных операций в городе могло помочь этого избежать),访客夺取了城市控制权，发动了全面入侵。（开展常规城市行动本可以避免这种情况。）,Les Visiteurs ont pris le contrôle de la ville et ont lancé une invasion à grande échelle. (Des opérations régulières menées dans la ville auraient pu contribuer à empêcher cela.),Die Angreifer übernahmen die Kontrolle über die Stadt und starteten eine groß angelegte Invasion. (Regelmäßige Einsätze in der Stadt hätten das vielleicht verhindern können.),Los visitantes tomaron el control de la ciudad y lanzaron una invasión a gran escala. (Operaciones preventivas regulares en la ciudad podrían haber ayudado a evitar esto.),Os visitantes tomaram o controle da cidade e iniciaram uma invasão em larga escala. (Operações regulares na cidade poderiam ter ajudado a evitar isso).,訪客奪取了城市控制權，發動了全面入侵。（開展一般城市行動本可以避免這種情況。）,손님'들이 도시의 통제권을 장악하고 전면적인 침공을 시작했습니다. (도시에서 정기적인 작전을 수행했다면 이를 방지할 수 있었을 것입니다.),Przybysze przejęli kontrolę nad miastem i rozpoczęli zmasowaną inwazję. (Regularne prowadzenie operacji w mieście mogło temu zapobiec.),来訪者が都市を制御し、本格的な侵攻を始めた。（都市部で通常オペレーションを進めていれば、こんなことは防げたはずだ。）
1898,UI/GameOverTip_TechnoSymbios,0,UI/GameOverTip_TechnoSymbios,,Ferrosludge augmentations have gone out of control and consumed the entire city. (Regular operations in the city could have helped prevent this.),Ферросладжевые аугментации вышли из-под контроля и поглотили весь город. (Проведение регулярных операций в городе могло помочь этого избежать),铁泥改造技术失控，吞噬了整座城市。（开展常规城市行动本可以避免这种情况。）,Les accumulations de boues ferreuses sont devenues incontrôlables et ont envahi toute la ville. (Des opérations régulières menées dans la ville auraient pu contribuer à empêcher cela.),Die Ferroschlamm-Ausbreitung ist außer Kontrolle geraten und hat die ganze Stadt verschlungen. (Regelmäßige Einsätze in der Stadt hätten das vielleicht verhindern können.),Las mejoras usando ferrolodo se han descontrolado y han consumido toda la ciudad. (Operaciones preventivas regulares en la ciudad podrían haber ayudado a evitar esto.),Os aumentos de lodo ferroso ficaram fora de controle e devoraram a cidade inteira. (Operações regulares na cidade poderiam ter ajudado a evitar isso).,鐵泥改造技術失控，吞噬了整座城市。（開展一般城市行動本可以避免這種情況。）,페로슬러지 증강체가 통제를 벗어나 도시 전체를 집어삼켰습니다. (도시에서 정기적인 작전을 수행했다면 이를 방지할 수 있었을 것입니다.),Augmentacje ferrosadowe wymknęły się spod kontroli i pożarły całe miasto. (Regularne prowadzenie operacji w mieście mogło temu zapobiec.),フェロスラッジ拡張が制御不能となり、都市全体を呑み込んでしまった。（都市部で通常オペレーションを進めていれば、こんなことは防げたはずだ。）
1899,UI/GameOverTip_Skynet,0,UI/GameOverTip_Skynet,,All digital augmentations and equipment have come under the control of AM0N. Humanity is enslaved. (Regular operations in the city could have helped prevent this.),Все цифровые аугменты и оборудование перешли под власть AM0N. Человечество порабощено. (Проведение регулярных операций в городе могло помочь этого избежать),所有数字化改造躯体与设备都被AM0N接管，人类沦为奴隶。（开展常规城市行动本可以避免这种情况。）,Toutes les augmentations et tous les équipements numériques sont désormais sous le contrôle d’AM0N. L’humanité est réduite en esclavage. (Des opérations régulières menées dans la ville auraient pu contribuer à empêcher cela.),Alle digitalen Erweiterungen und Geräte stehen nun unter der Kontrolle von AM0N. Die Menschheit ist versklavt. (Regelmäßige Einsätze in der Stadt hätten das vielleicht verhindern können.),Las mejoras digitales y de equipos han quedado bajo el control de AM0N. La humanidad está esclavizada. (Operaciones preventivas regulares en la ciudad podrían haber ayudado a evitar esto.),Todos os aumentos e equipamentos digitais foram tomados pela AM0N. A humanidade foi escravizada. (Operações regulares na cidade poderiam ter ajudado a evitar isso).,所有數位化改造軀體與裝置都被AM0N接管，人類淪為奴隸。（開展一般城市行動本可以避免這種情況。）,모든 디지털 증강체와 장비가 AM0N의 통제하에 들어갔습니다. 인류는 노예가 되었습니다. (도시에서 정기적인 작전을 수행했다면 이를 방지할 수 있었을 것입니다.),Wszystkie augmentacje i sprzęty cyfrowe wpadły pod kontrolę AM0N. Ludzkość została zniewolona. (Regularne prowadzenie operacji w mieście mogło temu zapobiec.),すべてのデジタル拡張機能と装備がAM0Nの支配下に置かれた。人類は奴隷と化している。（都市部で通常オペレーションを進めていれば、こんなことは防げたはずだ。）
1900,UI/GameOverTip_Mechanoids,0,UI/GameOverTip_Mechanoids,,Mechanoid life spread and began to displace organic life. (Regular operations in the city could have helped prevent this.),Механоидная жизнь распространилась и начала вытеснять органическую. (Проведение регулярных операций в городе могло помочь этого избежать),机械生命体大肆扩散，开始取代有机生命。（开展常规城市行动本可以避免这种情况。）,La vie mécanoïde s’est répandue et a commencé à supplanter la vie organique. (Des opérations régulières menées dans la ville auraient pu contribuer à empêcher cela.),"Das mechanoide Leben breitete sich aus und begann, das organische Leben zu verdrängen. (Regelmäßige Einsätze in der Stadt hätten das vielleicht verhindern können.)",La vida mecanoide se extendió y comenzó a desplazar a la vida orgánica. (Operaciones preventivas regulares en la ciudad podrían haber ayudado a evitar esto.),A vida mecanoide se espalhou e começou a substituir a vida orgânica. (Operações regulares na cidade poderiam ter ajudado a evitar isso).,機械生命體大肆擴散，開始取代有機生命。（開展一般城市行動本可以避免這種情況。）,메카노이드 생명체가 확산되어 유기 생명체를 대체하기 시작했습니다. (도시에서 정기적인 작전을 수행했다면 이를 방지할 수 있었을 것입니다.),Mechaniczne życie rozprzestrzeniło się i zaczęło wypleniać życie organiczne. (Regularne prowadzenie operacji w mieście mogło temu zapobiec.),メカノイドの生命が拡散し、有機生命体に取って代わり始めた。（都市部で通常オペレーションを進めていれば、こんなことは防げたはずだ。）
1901,UI/GameOverTip_Zombies2,0,UI/GameOverTip_Zombies2,,Fungus zombus has gone out of control and the city is overrun with walking corpses. (Regular operations in the city could have helped prevent this.),"Зомбянка вышла из-под контроля, город заполонили ходячие трупы. (Проведение регулярных операций в городе могло помочь этого избежать)",丧尸真菌失控，城市被行尸走肉淹没。（开展常规城市行动本可以避免这种情况。）,Le « Champignon Zombifiant » est devenu incontrôlable et la ville est désormais envahie de cadavres ambulants. (Des opérations régulières menées dans la ville auraient pu contribuer à empêcher cela.),"Der „Fungus zombus“ ist außer Kontrolle geraten, und die Stadt wird von wandelnden Leichen überrannt. (Regelmäßige Einsätze in der Stadt hätten das vielleicht verhindern können.)",El hongo zombus se ha descontrolado y la ciudad ha sido invadida por cadáveres ambulantes. (Operaciones preventivas regulares en la ciudad podrían haber ayudado a evitar esto.),Os zumbis fúngicos ficaram fora de controle e agora a cidade está infestada de corpos ambulantes. (Operações regulares na cidade poderiam ter ajudado a evitar isso).,喪屍真菌失控，城市被行屍走肉淹沒。（開展一般城市行動本可以避免這種情況。）,"좀비 바이러스가 통제를 벗어났고, 걸어 다니는 시체들이 도시를 뒤덮었습니다. (도시에서 정기적인 작전을 수행했다면 이를 방지할 수 있었을 것입니다.)",Fungus zombus wymknął się spod kontroli i miasto zostało opanowane przez chodzące trupy. (Regularne prowadzenie operacji w mieście mogło temu zapobiec.),ゾンビ菌が暴走し、街は歩く死体で溢れかえっている。（都市部で通常オペレーションを進めていれば、こんなことは防げたはずだ。）
1902,UI/GameOverTip_Insectoids,0,UI/GameOverTip_Insectoids,,An insectoid branch of evolution has taken over the city and begun to actively displace humanity. (Regular operations in the city could have helped prevent this.),Инсектоидная ветвь эволюции захватила город и начала активно вытеснять человечество. (Проведение регулярных операций в городе могло помочь этого избежать),昆虫演化分支接管城市，开始驱逐人类。（开展常规城市行动本可以避免这种情况。）,"Une branche insectoïde de l’évolution a pris le contrôle de la ville et a commencé à supplanter l’humanité, activement. (Des opérations régulières menées dans la ville auraient pu contribuer à empêcher cela.)","Ein insektoider Zweig der Evolution hat die Stadt übernommen und begonnen, die Menschheit aktiv zu verdrängen. (Regelmäßige Einsätze in der Stadt hätten das vielleicht verhindern können.)",Una rama evolutiva insectoide ha tomado el control de la ciudad y ha comenzado a desplazar activamente a la humanidad. (Operaciones preventivas regulares en la ciudad podrían haber ayudado a evitar esto.),Um ramo insetoide da evolução tomou conta da cidade e começou a substituir a humanidade. (Operações regulares na cidade poderiam ter ajudado a evitar isso).,昆蟲演化分支接管了城市，開始驅逐人類。（開展一般城市行動本可以避免這種情況。）,곤충형 진화 분기가 도시를 장악하고 인류를 적극적으로 몰아내기 시작했습니다. (도시에서 정기적인 작전을 수행했다면 이를 방지할 수 있었을 것입니다.),Insektowa odnoga ewolucyjna przejęła miasto i zaczęła aktywnie wybijać ludzkość. (Regularne prowadzenie operacji w mieście mogło temu zapobiec.),昆虫型進化を遂げた種族が都市を乗っ取り、人類を急速に駆逐し始めた。（都市部で通常オペレーションを進めていれば、こんなことは防げたはずだ。）
1903,UI/GameOverTip_Hack,0,UI/GameOverTip_Hack,,A hacker group gained complete control over the web and infiltrated the government. (Regular operations in the city could have helped prevent this.),Хакерская группировка получила полный контроль над сетью и проникла в правительство. (Проведение регулярных операций в городе могло помочь этого избежать),黑客组织完全掌控了网络并渗透了政府机构。（开展常规城市行动本可以避免这种情况。）,Un groupe de pirates informatiques a pris le contrôle total d’Internet et s’est infiltré au sein du gouvernement. (Des opérations régulières menées dans la ville auraient pu contribuer à empêcher cela.),Eine Hackergruppe hat die vollständige Kontrolle über das Internet erlangt und die Regierung unterwandert. (Regelmäßige Einsätze in der Stadt hätten das vielleicht verhindern können.),Un grupo de hackers obtuvo control total sobre la web e infiltró al gobierno. (Operaciones preventivas regulares en la ciudad podrían haber ayudado a evitar esto.),Um grupo de hackers tomou controle da web e infiltrou-se no governo. (Operações regulares na cidade poderiam ter ajudado a evitar isso).,駭客組織完全掌控了網路並滲透了政府機構。（開展一般城市行動本可以避免這種情況。）,해커 집단이 네트워크의 완전한 통제권을 확보하고 정부에 침투했습니다. (도시에서 정기적인 작전을 수행했다면 이를 방지할 수 있었을 것입니다.),Grupa hakerska przejęła całkowitą kontrolę nad siecią i opanowała rząd. (Regularne prowadzenie operacji w mieście mogło temu zapobiec.),ハッカー集団がウェブを完全に掌握し、政府内へと侵入した。（都市部で通常オペレーションを進めていれば、こんなことは防げたはずだ。）
1904,UI/GameOverTip_PostApoc2,0,UI/GameOverTip_PostApoc2,,"An augmentation frenzy struck the city, leading to anarchy. (Regular operations in the city could have helped prevent this.)",Аугментационное безумие поразило город и привело к анархии. (Проведение регулярных операций в городе могло помочь этого избежать),改造狂热席卷城市，社会陷入无政府状态。（开展常规城市行动本可以避免这种情况。）,"Une véritable frénésie d’augmentations s’est emparée de la ville, la plongeant dans l’anarchie. (Des opérations régulières menées dans la ville auraient pu contribuer à empêcher cela.)",Ein Erweiterungswahn erfasste die Stadt und führte zu Anarchie. (Regelmäßige Einsätze in der Stadt hätten das vielleicht verhindern können.),"La fiebre de los aumentos golpeó la ciudad, llevándola a la anarquía.(Operaciones preventivas regulares en la ciudad podrían haber ayudado a evitar esto.)","Uma febre de aumentos tomou conta da cidade, causando anarquia. (Operações regulares na cidade poderiam ter ajudado a evitar isso).",改造狂熱席捲城市，社會陷入無政府狀態。（開展一般城市行動本可以避免這種情況。）,증강체 광기가 도시를 덮쳐 무정부 상태에 빠졌습니다. (도시에서 정기적인 작전을 수행했다면 이를 방지할 수 있었을 것입니다.),Miasto wpadło w szał augmentacyjny prowadzący do anarchii. (Regularne prowadzenie operacji w mieście mogło temu zapobiec.),拡張機能に対する狂乱が都市を襲い、無政府状態に陥った。（都市部で通常オペレーションを進めていれば、こんなことは防げたはずだ。）
1905,UI/GameOverTip_CultActivity2,0,UI/GameOverTip_CultActivity2,,The cultists have completed the summoning and are actively destroying humanity. (Regular operations in the city could have helped prevent this.),Культисты завершили призыв и активно уничтожают человечество. (Проведение регулярных операций в городе могло помочь этого избежать),邪教徒完成召唤仪式，大肆屠戮人类。（开展常规城市行动本可以避免这种情况。）,Les cultistes ont achevé l’invocation et s’emploient activement à détruire l’humanité. (Des opérations régulières menées dans la ville auraient pu contribuer à empêcher cela.),"Die Kultisten haben ihre Beschwörung vollendet und sind gerade dabei, die Menschheit zu vernichten. (Regelmäßige Einsätze in der Stadt hätten das vielleicht verhindern können.)",Los sectarios han completado la invocación y se están dedicando a destruir a la humanidad. (Operaciones preventivas regulares en la ciudad podrían haber ayudado a evitar esto.),Os cultistas concluíram o ritual e estão destruindo a humanidade. (Operações regulares na cidade poderiam ter ajudado a evitar isso).,邪教徒完成召喚儀式，大肆屠戮人類。（開展一般城市行動本可以避免這種情況。）,광신도들이 소환을 마치고 인류를 적극적으로 말살하고 있습니다. (도시에서 정기적인 작전을 수행했다면 이를 방지할 수 있었을 것입니다.),Kultyści dokonali przywołania i aktywnie tępią ludzkość. (Regularne prowadzenie operacji w mieście mogło temu zapobiec.),カルト信者らが召喚を完了させ、人類を積極的に壊し始めている。（都市部で通常オペレーションを進めていれば、こんなことは防げたはずだ。）
1906,UI/GameOverTip_SatanaMushroom,0,UI/GameOverTip_SatanaMushroom,,Mushroom-worshippers have summoned hellspawn. (Regular operations in the city could have helped prevent this.),Грибопоклонники призвали исчадие ада. (Проведение регулярных операций в городе могло помочь этого избежать),蘑菇崇拜者召唤出了地狱魔物。（开展常规城市行动本可以避免这种情况。）,Les adorateurs des champignons ont invoqué des créatures infernales. (Des opérations régulières menées dans la ville auraient pu contribuer à empêcher cela.),Die Pilzverehrer haben ihre Höllenbrut heraufbeschworen. (Regelmäßige Einsätze in der Stadt hätten das vielleicht verhindern können.),Los adoradores de los hongos han invocado a engendros infernales. (Operaciones preventivas regulares en la ciudad podrían haber ayudado a evitar esto.),Devotos dos cogumelos invocaram criaturas do inferno. (Operações regulares na cidade poderiam ter ajudado a evitar isso).,蘑菇崇拜者召喚出了地獄魔物。（開展一般城市行動本可以避免這種情況。）,버섯 숭배자들이 지옥의 악마를 소환했습니다. (도시에서 정기적인 작전을 수행했다면 이를 방지할 수 있었을 것입니다.),Czciciele grzyba wezwali piekielny pomiot. (Regularne prowadzenie operacji w mieście mogło temu zapobiec.),キノコを崇拝する者たちがヘルスポーンを召喚した。（都市部で通常オペレーションを進めていれば、こんなことは防げたはずだ。）
1907,UI/GameOverTip_Goser,0,UI/GameOverTip_Goser,,We completely lost control over the fairytale creatures. (Regular operations in the city could have helped prevent this.),Контроль над сказочными существами окончательно утерян. (Проведение регулярных операций в городе могло помочь этого избежать),我们彻底失去了对童话生物的管控。（开展常规城市行动本可以避免这种情况。）,Nous avons complètement perdu le contrôle sur ces créatures de contes de fées. (Des opérations régulières menées dans la ville auraient pu contribuer à empêcher cela.),Wir haben die Kontrolle über die Märchenwesen vollkommen verloren. (Regelmäßige Einsätze in der Stadt hätten das vielleicht verhindern können.),Se ha perdido por completo el control sobre las criaturas de los cuentos de hadas. (Operaciones preventivas regulares en la ciudad podrían haber ayudado a evitar esto.),Perdemos completamente o controle sobre as criaturas dos contos de fada. (Operações regulares na cidade poderiam ter ajudado a evitar isso).,我們徹底失去了對童話生物的管控。（開展一般城市行動本可以避免這種情況。）,동화 속 생명체들에 대한 통제력을 완전히 상실했습니다. (도시에서 정기적인 작전을 수행했다면 이를 방지할 수 있었을 것입니다.),Całkowicie straciliśmy kontrolę nad bajkowymi istotami. (Regularne prowadzenie operacji w mieście mogło temu zapobiec.),おとぎ話の生物たちを制御できなくなっていった。（都市部で通常オペレーションを進めていれば、こんなことは防げたはずだ。）
1908,UI/GameOverTip_Transform,0,UI/GameOverTip_Transform,,The technomancers have completed the transformation of the city into their weapon. (Regular operations in the city could have helped prevent this.),Техноманты завершили трансформацию города в своё оружие. (Проведение регулярных операций в городе могло помочь этого избежать),科技法师已完成改造，将整座城市化为了武器。（开展常规城市行动本可以避免这种情况。）,Les technomanciens ont achevé la transformation de la ville en arme. (Des opérations régulières menées dans la ville auraient pu contribuer à empêcher cela.),Die Technomanten haben die Transformation der Stadt in ihre Waffe vollendet. (Regelmäßige Einsätze in der Stadt hätten das vielleicht verhindern können.),Los tecnomantes han completado la transformación de la ciudad en su propio arma. (Operaciones preventivas regulares en la ciudad podrían haber ayudado a evitar esto.),Os tecnomantes concluíram a transformação da cidade em sua própria arma. (Operações regulares na cidade poderiam ter ajudado a evitar isso).,科技法師已完成改造，將整座城市化為了武器。（開展一般城市行動本可以避免這種情況。）,테크노맨서들이 도시를 자신들의 무기로 개조하는 작업을 완료했습니다. (도시에서 정기적인 작전을 수행했다면 이를 방지할 수 있었을 것입니다.),Technomanci dokonali przekształcenia miasta w swoją broń. (Regularne prowadzenie operacji w mieście mogło temu zapobiec.),テクノマンサーが都市の兵器化を完了させた。（都市部で通常オペレーションを進めていれば、こんなことは防げたはずだ。）
1909,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
1910,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
1911,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
1912,Instructions/,0,,,#N/A,#N/A,#N/A,,,,,,,,
